Open,High,Low,Close,Volume
7865.25,7930.049805,7777.100098,7791.850098,216600
7921.600098,7963.600098,7862.299805,7948.950195,305000
8053.700195,8091.799805,7961.649902,8001.950195,195600
8009.25,8043.600098,7947.950195,7971.299805,198200
7907.950195,7929.100098,7746.5,7785.850098,184900
7856.649902,7862.549805,7699.25,7717,215300
7774.450195,7845.600098,7754.049805,7823,155800
7803.399902,7804.899902,7626.850098,7655.049805,193600
7685.850098,7705.049805,7545.899902,7558.799805,141400
7587.700195,7720.899902,7539.5,7688.25,172200
7805.850098,7846.049805,7764.549805,7818.600098,208400
7729.049805,7819.850098,7678.5,7788.100098,160300
7833.799805,7864.850098,7759.899902,7789.299805,136400
7811.100098,7879.950195,7761.850098,7872.25,122800
7867.350098,7880,7799.75,7829.100098,136500
7886.850098,7913.899902,7853.299805,7899.149902,140000
7967.450195,8055,7955.850098,7981.899902,241800
7911.5,7987.899902,7908.350098,7977.100098,121800
8014.799805,8021.600098,7787.75,7812,168400
7737.350098,7882.899902,7723.25,7845.950195,146700
7838.399902,7894.5,7804.100098,7868.5,202500
7892.799805,7893.950195,7787.950195,7795.700195,136300
7725.700195,7926.549805,7691.200195,7843.299805,240700
7924.25,7957.700195,7874.5,7948.899902,210700
7992.049805,8008.25,7930.649902,7950.899902,156900
8005.100098,8128.899902,8005.100098,8119.299805,183100
8180.450195,8180.950195,8096.5,8152.899902,178500
8146.200195,8188.899902,8132.899902,8177.399902,193900
8196.75,8196.75,8105.850098,8129.350098,171700
8186.350098,8232.200195,8139.649902,8189.700195,199700
8231.5,8244.5,8128.200195,8143.600098,199100
8121.950195,8150.25,8088.600098,8131.700195,145900
8102.399902,8139.299805,8096.350098,8107.899902,138900
8134.350098,8190.549805,8129.799805,8179.5,167200
8193.650391,8246.400391,8147.649902,8238.150391,156400
8262.549805,8283.049805,8239.200195,8275.049805,124500
8280.299805,8294.049805,8229.200195,8261.650391,155100
8258.349609,8294.400391,8217.150391,8251.700195,144800
8308.25,8328.099609,8280.75,8295.450195,152000
8333.650391,8336.299805,8252.049805,8260.549805,133900
8230.349609,8241.950195,8217.049805,8232.900391,156700
8188.899902,8209.099609,8131.799805,8171.200195,188900
8175.450195,8179.600098,8098,8111.75,217500
8123.549805,8146.100098,8044.399902,8065.799805,199500
8054.549805,8060.700195,7995.600098,8050.799805,136100
8086.350098,8100.350098,8031.75,8060.700195,132500
8104.899902,8116.100098,8027.299805,8040.200195,122100
8030.350098,8031.200195,7944.100098,7955.450195,132100
7956.549805,8002.649902,7926.149902,7954.299805,219500
7788.25,7937.75,7771.700195,7915.200195,211800
7877.600098,7885.100098,7772.850098,7783.350098,165200
7762.450195,7775.100098,7730.899902,7762.25,160900
7732.950195,7838.850098,7714.149902,7806.600098,149500
7848.75,7860.450195,7793,7837.549805,145000
7823.149902,7843.399902,7725.049805,7731.799805,143600
7788.5,7854.899902,7765.450195,7842.75,132600
7841.899902,7906.950195,7817.799805,7856.549805,151900
7869.5,7877.5,7825.200195,7849.25,127000
7837,7870.350098,7812.649902,7831.600098,130600
7837.149902,7897.100098,7832,7883.799805,219800
7910.600098,7959.299805,7879.450195,7942.700195,150300
7936.25,7966,7922.799805,7935.25,216300
7958.149902,7972.149902,7934.149902,7954.899902,138600
7976.700195,7979.299805,7910.799805,7931.350098,126300
7902.299805,7912.299805,7853.299805,7864.149902,125700
7817.600098,7821.399902,7775.700195,7781.899902,152500
7816.549805,7825.399902,7746.049805,7765.399902,137600
7738.5,7771.25,7685.450195,7701.700195,135100
7695.5,7702.850098,7606.899902,7612.5,140000
7643.299805,7691.950195,7610,7683.299805,140800
7699.600098,7703.049805,7575.299805,7610.450195,167800
7558.200195,7663.950195,7551.049805,7650.049805,148900
7659.149902,7705,7625.100098,7700.899902,134300
7725.25,7776.600098,7715.75,7750.899902,154300
7783.049805,7852.899902,7737.549805,7844.350098,175900
7828.899902,7836.149902,7753.350098,7761.950195,191400
7745.649902,7840.75,7733.450195,7834.450195,126300
7829.399902,7846.299805,7776.850098,7786.100098,125700
7830.450195,7871.450195,7826.100098,7865.950195,117900
7888.75,7888.75,7835.5,7861.049805,93500
